OpeningTime,Open,High,Low,Close,Volume,CloseTime,RSI,MACD,MACDSIGNAL,MACDHIST,STOCHK,STOCHD
1662322200000,19878.26,19905.87,19872.56,19902.04,354.41202,1662322499999,nan,nan,nan,nan,nan,nan
1662322500000,19902.04,19932.38,19886.71,19890.58,620.0515,1662322799999,nan,nan,nan,nan,nan,nan
1662322800000,19890.58,19901.42,19881.2,19885.74,228.34457,1662323099999,nan,nan,nan,nan,nan,nan
1662323100000,19886.54,19898.39,19877.96,19896.31,267.52232,1662323399999,nan,nan,nan,nan,nan,nan
1662323400000,19896.98,19898.97,19884.75,19896.35,301.33393,1662323699999,nan,nan,nan,nan,nan,nan
1662323700000,19896.35,19917.44,19895.46,19910.93,400.30945,1662323999999,nan,nan,nan,nan,nan,nan
1662324000000,19910.93,19919.13,19894.01,19897.72,296.29339,1662324299999,nan,nan,nan,nan,nan,nan
1662324300000,19899.05,19912.66,19887.33,19890.44,321.10226,1662324599999,nan,nan,nan,nan,nan,nan
1662324600000,19889.39,19906.76,19889.3,19901.89,243.04119,1662324899999,nan,nan,nan,nan,42.72,46.16
1662324900000,19901.89,19907.6,19892.87,19901.81,268.3346,1662325199999,nan,nan,nan,nan,41.90,43.64
1662325200000,19900.84,19918.08,19880.0,19884.14,494.16982,1662325499999,nan,nan,nan,nan,35.32,39.98
1662325500000,19884.14,19884.31,19868.34,19882.43,312.80832,1662325799999,nan,nan,nan,nan,28.15,35.12
1662325800000,19883.56,19898.48,19874.0,19878.82,340.35015,1662326099999,nan,nan,nan,nan,19.99,27.82
1662326100000,19878.81,19894.5,19876.16,19883.06,176.83719,1662326399999,nan,nan,nan,nan,26.33,24.82
1662326400000,19883.06,19893.92,19877.95,19885.14,160.15218,1662326699999,41.78,nan,nan,nan,28.15,24.82
1662326700000,19884.46,19933.34,19880.11,19907.1,401.7396,1662326999999,52.67,nan,nan,nan,41.00,31.83
1662327000000,19906.45,19907.38,19883.09,19886.0,83.02311,1662327299999,44.13,nan,nan,nan,37.88,35.67
1662327300000,19885.99,19906.99,19884.72,19900.27,162.90907,1662327599999,50.03,nan,nan,nan,40.67,39.85
1662327600000,19900.97,19900.97,19865.71,19868.04,183.64325,1662327899999,39.81,nan,nan,nan,21.94,33.50
1662327900000,19868.04,19870.85,19853.22,19853.25,215.77952,1662328199999,36.15,nan,nan,nan,15.22,25.94
1662328200000,19853.78,19877.13,19830.0,19876.26,504.07183,1662328499999,44.66,nan,nan,nan,21.09,19.42
1662328500000,19876.99,19905.56,19854.71,19860.66,472.95941,1662328799999,40.70,nan,nan,nan,33.21,23.17
1662328800000,19860.66,19887.7,19846.6,19857.35,663.65062,1662329099999,39.89,nan,nan,nan,45.27,33.19
1662329100000,19856.45,19860.82,19824.69,19845.95,1035.16173,1662329399999,37.16,nan,nan,nan,34.10,37.53
1662329400000,19846.94,19858.17,19831.9,19836.37,623.17866,1662329699999,34.98,nan,nan,nan,25.64,35.00
1662329700000,19837.31,19844.84,19815.0,19836.81,782.43377,1662329999999,35.17,nan,nan,nan,21.61,27.12
1662330000000,19836.79,19859.28,19834.54,19849.69,642.30438,1662330299999,40.57,nan,nan,nan,28.75,25.33
1662330300000,19849.69,19857.68,19834.51,19853.63,522.29412,1662330599999,42.16,nan,nan,nan,52.04,34.13
1662330600000,19854.34,19872.39,19848.0,19864.16,628.23775,1662330899999,46.29,nan,nan,nan,72.56,51.12
1662330900000,19864.16,19879.59,19861.11,19872.53,500.64111,1662331199999,49.38,nan,nan,nan,86.35,70.31
